Scan,Time,1001(c),1002(c),1003(c),1004(c),1005(c),1006(c),1007(c),1008(c),1009(c),1010(c),1011(c),1012(c),1013(c),1014(c),1015(c),1016(c),1017(c),1018(c),1019(c),1020(c),1021(c),1022(c),1023(c),1024(c),1025(c),1026(c),1027(c),1028(c),1029(c),1030(c),1031(c),1032(c),1033(c),1034(c),1035(c),1036(c),1037(c),1038(c),1039(c),1040(c),2001(c),2002(c),2003(c),2004(c),2005(c),2006(c),2007(c),2008(c),2009(c),2010(c),2011(c),2012(c),2013(c),2014(c),2015(c),2016(c),2017(c),2018(c),2019(c),2020(c),2021(c),2022(c),2023(c),2024(c),2025(c),2026(c),2027(c),2028(c),2029(c),2030(c),2031(c),2032(c),2033(c),2034(c),2035(c),2036(c),2037(c),2038(c),2039(c),2040(c),3006(c),3007(c),3008(c),3009(c),3016(c),3017(c),3018(c),3019(c),3026(c),3027(c),3028(c),3029(c),3036(c),3037(c),3038(c),3039(c),3040(c)
11,2020/12/15 11:13:15,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,24.918,25.061,25.061
12,2020/12/15 11:13:20,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.805,24.95,24.95
13,2020/12/15 11:13:25,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,25.113,24.939,24.939
14,2020/12/15 11:13:30,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,25.265,24.822,24.822
15,2020/12/15 11:13:35,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.775,24.769,24.769
16,2020/12/15 11:13:40,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,24.842,25.281,25.281
17,2020/12/15 11:13:45,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,24.95,25.242,25.242
18,2020/12/15 11:13:50,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,24.86,25.138,25.138
19,2020/12/15 11:13:55,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,24.771,25.125,25.125
20,2020/12/15 11:14:00,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.254,25.251,25.251
21,2020/12/15 11:14:05,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.09,25.122,25.122
22,2020/12/15 11:14:10,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.801,24.962,24.962
23,2020/12/15 11:14:15,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.11,25.104,25.104
24,2020/12/15 11:14:20,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,24.926,25.272,25.272
25,2020/12/15 11:14:25,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.116,25.115,25.115
26,2020/12/15 11:14:30,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.181,25.138,25.138
27,2020/12/15 11:14:35,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,25.139,24.73,24.73
28,2020/12/15 11:14:40,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,25.085,24.877,24.877
29,2020/12/15 11:14:45,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,24.711,25.243,25.243
30,2020/12/15 11:14:50,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.289,25.027,25.027
31,2020/12/15 11:14:55,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,24.975,25.298,25.298
32,2020/12/15 11:15:00,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.133,25.186,25.186
